zip,registered_evs,station_count,l1_ports,l2_ports,dcfc_ports,land_sqmi,total_ports,evs_per_dcfc_port,evs_per_total_port,ev_density_per_sqmi
14731,16,4.0,0.0,12.0,0.0,45.452,12.0,,1.3333333333333333,0.3520197131039338
14733,14,0.0,0.0,0.0,0.0,26.697,0.0,,,0.5244034910289546
14735,6,0.0,0.0,0.0,0.0,78.448,0.0,,,0.07648378543748725
14736,2,1.0,0.0,0.0,6.0,4.552,6.0,0.3333333333333333,0.3333333333333333,0.4393673110720563
14737,3,0.0,0.0,0.0,0.0,106.389,0.0,,,0.02819840397033528
14738,19,0.0,0.0,0.0,0.0,64.976,0.0,,,0.2924156611672002
14739,5,1.0,0.0,0.0,4.0,81.073,4.0,1.25,1.25,0.061672813390401246
14740,2,0.0,0.0,0.0,0.0,25.464,0.0,,,0.07854225573358467
14741,2,0.0,0.0,0.0,0.0,62.287,0.0,,,0.03210942893380641
14742,4,0.0,0.0,0.0,0.0,0.126,0.0,,,31.746031746031747
14743,2,0.0,0.0,0.0,0.0,45.107,0.0,,,0.04433901611723236
14744,10,3.0,0.0,6.0,0.0,19.873,6.0,,1.6666666666666667,0.5031952900920847
14747,5,1.0,0.0,1.0,0.0,44.366,1.0,,5.0,0.11269891358247307
14748,1,0.0,0.0,0.0,0.0,16.782,0.0,,,0.059587653438207606
14750,39,3.0,0.0,2.0,2.0,11.262,4.0,19.5,9.75,3.4629728289824184
14752,1,0.0,0.0,0.0,0.0,0.25,0.0,,,4.0
14753,2,0.0,0.0,0.0,0.0,35.771,0.0,,,0.0559112129937659
14755,10,0.0,0.0,0.0,0.0,73.911,0.0,,,0.13529785823490414
14757,20,2.0,0.0,3.0,0.0,43.704,3.0,,6.666666666666667,0.45762401610836534
14760,50,13.0,0.0,62.0,12.0,65.066,74.0,4.166666666666667,0.6756756756756757,0.7684504964190206
14767,2,0.0,0.0,0.0,0.0,55.176,0.0,,,0.0362476439031463
14769,4,0.0,0.0,0.0,0.0,8.989,0.0,,,0.4449883190566247
14770,4,0.0,0.0,0.0,0.0,29.193,0.0,,,0.13701914842599253
14772,15,0.0,0.0,0.0,0.0,76.628,0.0,,,0.1957509004541421
14775,6,2.0,0.0,0.0,4.0,53.86,4.0,1.5,1.5,0.11139992573338285
14777,2,0.0,0.0,0.0,0.0,7.606,0.0,,,0.2629503023928478
14778,1,0.0,0.0,0.0,0.0,0.46,0.0,,,2.1739130434782608
14779,11,2.0,0.0,1.0,8.0,138.797,9.0,1.375,1.2222222222222223,0.07925243340994402
14781,6,1.0,0.0,0.0,2.0,72.527,2.0,3.0,3.0,0.08272781171150054
